date,value,reporter,partner
2022-01-01,611365563695,"Hong Kong, China","All Countries, excluding the IO"
2021-01-01,40696663981,Egypt,"All Countries, excluding the IO"
2022-01-01,48398807224,Egypt,"All Countries, excluding the IO"
2021-01-01,7114201078,Botswana,"All Countries, excluding the IO"
2022-01-01,8137012298,Botswana,"All Countries, excluding the IO"
2021-01-01,11712794,Holy See (Vatican City State),"All Countries, excluding the IO"
2022-01-01,5621329,Holy See (Vatican City State),"All Countries, excluding the IO"
2021-01-01,36510565,Kiribati,"All Countries, excluding the IO"
2022-01-01,189680929,Kiribati,"All Countries, excluding the IO"
2021-01-01,5481692316,Namibia,"All Countries, excluding the IO"
2022-01-01,4896223070,Namibia,"All Countries, excluding the IO"
2021-01-01,1848580572,Antigua and Barbuda,"All Countries, excluding the IO"
2022-01-01,2286607907,Antigua and Barbuda,"All Countries, excluding the IO"
2021-01-01,228918377,Nauru,"All Countries, excluding the IO"
2022-01-01,246901137,Nauru,"All Countries, excluding the IO"
2021-01-01,141172822,Gibraltar,"All Countries, excluding the IO"
2022-01-01,410722277,Gibraltar,"All Countries, excluding the IO"
2021-01-01,854419290,Bhutan,"All Countries, excluding the IO"
2022-01-01,765917170,Bhutan,"All Countries, excluding the IO"
2021-01-01,232272963,"Micronesia, Federated States of","All Countries, excluding the IO"
2022-01-01,238166702,"Micronesia, Federated States of","All Countries, excluding the IO"
2021-01-01,164809146,Guam,"All Countries, excluding the IO"
2022-01-01,196758371,Guam,"All Countries, excluding the IO"
2021-01-01,209392831,Curacao,"All Countries, excluding the IO"
2022-01-01,191811712,Curacao,"All Countries, excluding the IO"
2021-01-01,35406426,Anguilla,"All Countries, excluding the IO"
2022-01-01,36802262,Anguilla,"All Countries, excluding the IO"
2021-01-01,525277606,South Sudan,"All Countries, excluding the IO"
2022-01-01,489737231,South Sudan,"All Countries, excluding the IO"
2021-01-01,150441745,French Polynesia,"All Countries, excluding the IO"
2022-01-01,132159473.99999999,French Polynesia,"All Countries, excluding the IO"
2021-01-01,1363337887,Marshall islands,"All Countries, excluding the IO"
2022-01-01,1346348138,Marshall islands,"All Countries, excluding the IO"
2021-01-01,1066980450.9999999,Lesotho,"All Countries, excluding the IO"
2022-01-01,1052899124.9999999,Lesotho,"All Countries, excluding the IO"
