"Date","Price","Open","High","Low","Vol.","Change %"
"08/05/2014","2,182.61","2,173.89","2,182.61","2,173.89","11.54K","0.40%"
"08/04/2014","2,173.89","2,165.02","2,214.38","2,165.02","26.36K","0.41%"
"08/01/2014","2,165.02","2,163.87","2,202.72","2,163.87","21.33K","0.05%"
"07/31/2014","2,163.87","2,160.92","2,163.87","2,146.42","3.11K","0.14%"
"07/30/2014","2,160.92","2,163.03","2,181.34","2,160.92","58.28K","-0.10%"
"07/29/2014","2,163.03","2,163.90","2,163.90","2,163.03","12.50K","-0.04%"
"07/28/2014","2,163.90","2,181.34","2,181.34","2,163.90","15.60K","0.00%"
"07/25/2014","2,163.90","2,159.23","2,163.90","2,159.23","3.99K","0.22%"
"07/23/2014","2,159.23","2,163.22","2,163.22","2,144.74","6.25K","-0.18%"
"07/22/2014","2,163.22","2,134.18","2,163.22","2,119.68","32.23K","0.80%"
"07/21/2014","2,146.15","2,139.44","2,146.15","2,131.30","14.42K","0.31%"
"07/18/2014","2,139.44","2,118.42","2,142.11","2,118.42","2.55K","0.99%"
"07/17/2014","2,118.42","2,117.98","2,118.42","2,117.98","9.08K","0.02%"
"07/16/2014","2,117.98","2,103.49","2,117.98","2,103.49","0.93K","0.69%"
"07/15/2014","2,103.49","2,103.40","2,103.49","2,103.40","6.56K","0.00%"
"07/14/2014","2,103.40","2,120.85","2,120.85","2,103.40","22.74K","-0.82%"
"07/11/2014","2,120.85","2,120.85","2,120.85","2,119.64","2.60K","0.00%"
"07/10/2014","2,120.85","2,126.07","2,126.07","2,119.64","13.38K","-0.25%"
"07/09/2014","2,126.07","2,148.51","2,148.51","2,118.83","6.31K","-1.04%"
"07/08/2014","2,148.51","2,145.63","2,148.51","2,123.29","7.89K","0.13%"
"07/07/2014","2,145.63","2,131.14","2,174.51","2,131.14","1.75K","0.68%"
"07/04/2014","2,131.14","2,131.14","2,131.14","2,131.14","9.36K","0.00%"
"07/03/2014","2,131.14","2,125.58","2,132.43","2,117.94","3.70K","0.26%"
"07/02/2014","2,125.58","2,106.03","2,125.58","2,105.63","6.23K","0.93%"
"07/01/2014","2,106.03","2,112.87","2,176.10","2,105.63","3.10K","-0.32%"
"06/30/2014","2,112.87","2,131.44","2,132.83","2,112.87","1.30K","-0.87%"
"06/27/2014","2,131.44","2,131.44","2,131.44","2,131.44","2.71K","0.00%"
"06/26/2014","2,131.44","2,151.40","2,151.40","2,131.44","0.51K","-0.93%"
"06/25/2014","2,151.40","2,154.35","2,154.35","2,136.91","22.30K","-0.14%"
"06/20/2014","2,154.35","2,154.35","2,154.35","2,154.35","0.13K","0.00%"
"06/19/2014","2,154.35","2,154.35","2,154.35","2,154.35","","0.00%"
"06/18/2014","2,154.35","2,157.37","2,157.37","2,138.48","0.18K","-0.14%"
"06/17/2014","2,157.37","2,154.40","2,163.12","2,154.40","1.14K","0.14%"
"06/16/2014","2,154.40","2,165.21","2,199.41","2,154.40","39.66K","-0.50%"
"06/13/2014","2,165.21","2,209.55","2,209.55","2,163.81","9.34K","-2.01%"
"06/12/2014","2,209.55","2,202.32","2,209.55","2,202.32","0.12K","0.33%"
"06/11/2014","2,202.32","2,208.17","2,209.55","2,196.53","6.63K","-0.26%"
"06/10/2014","2,208.17","2,133.79","2,208.17","2,133.79","83.80K","3.49%"
"06/09/2014","2,133.79","2,184.50","2,184.50","2,133.79","2.03K","-2.32%"
"06/06/2014","2,184.50","2,209.65","2,209.65","2,183.49","2.13K","-1.14%"
"06/05/2014","2,209.65","2,203.41","2,210.66","2,203.41","4.78K","0.28%"
"06/04/2014","2,203.41","2,163.50","2,203.41","2,163.50","1.53K","1.84%"
"06/03/2014","2,163.50","2,156.98","2,170.75","2,156.98","0.74K","0.30%"
"05/30/2014","2,156.98","2,157.27","2,169.84","2,156.09","5.74K","-0.01%"
"05/29/2014","2,157.27","2,169.73","2,169.73","2,155.96","4.54K","-0.57%"
"05/28/2014","2,169.73","2,176.97","2,176.97","2,155.24","1.27K","-0.33%"
"05/27/2014","2,176.97","2,175.96","2,176.97","2,175.96","7.08K","0.05%"
"05/26/2014","2,175.96","2,190.05","2,191.36","2,175.96","1.25K","-0.64%"
